Unnamed: 0,price,bed,bath,feet,address,new_flag,link,latitude,longitude
27,299000,1,1,655,"221 Beach 80th St Rockaway Beach, NY 11693",False,https://www.trulia.com/p/ny/rockaway-beach/221-beach-80th-st-5e-rockaway-beach-ny-11693--2010486657,,
28,229000,2,1,950,"2212 Plumb 1st St Brooklyn, NY 11229",False,https://www.trulia.com/p/ny/brooklyn/2212-plumb-1st-st-1b-brooklyn-ny-11229--2189270030,40.5993474,-73.9330461
29,550000,1,1,,"609 Columbus Ave New York, NY 10024",False,https://www.trulia.com/p/ny/new-york/609-columbus-ave-8i-new-york-ny-10024--2334310944,40.7888238,-73.9701823
30,695000,2,2,965,"204 W 140th St New York, NY 10030",False,https://www.trulia.com/p/ny/new-york/204-w-140th-st-2e-new-york-ny-10030--2624550560,40.81861765,-73.94224641701292
31,980000,1,1,975,"138-35 39th Ave Flushing, NY 11354",False,https://www.trulia.com/p/ny/flushing/138-35-39th-ave-12f-flushing-ny-11354--2345641528,40.761092,-73.8273089
32,2250000,2,2,1171,"20 River Ter New York, NY 10282",False,https://www.trulia.com/p/ny/new-york/20-river-ter-21e-new-york-ny-10282--2171942798,40.7165629,-74.0161548656639
33,975000,4,3,2366,"16139 84th St,Jamaica, NY 11414",False,https://www.trulia.com/p/ny/jamaica/16139-84th-st-jamaica-ny-11414--2010154166,,
34,374999,2,2,878,"2796 Sedgwick Ave Bronx, NY 10468",False,https://www.trulia.com/p/ny/bronx/2796-sedgwick-ave-2c-bronx-ny-10468--2008953316,40.87200515000001,-73.90191871450259
35,1050000,1,2,1050,"40-50 E 10th St New York, NY 10003",False,https://www.trulia.com/p/ny/new-york/40-50-e-10th-st-2-l-new-york-ny-10003--2341844937,40.6053075,-73.9625623
36,229000,1,1,700,"3242 92nd St East Elmhurst, NY 11369",False,https://www.trulia.com/p/ny/east-elmhurst/3242-92nd-st-505-east-elmhurst-ny-11369--2196206900,,
37,1380000,5,3,1733,"20415 42nd Ave,Flushing, NY 11361",False,https://www.trulia.com/p/ny/flushing/20415-42nd-ave-flushing-ny-11361--2009970320,,
38,2195000,3,2,1550,"425 W End Ave New York, NY 10024",False,https://www.trulia.com/p/ny/new-york/425-w-end-ave-4a-new-york-ny-10024--2478829379,40.7852867,-73.9807153
39,1500000,2,1,1000,"1060 Park Ave New York, NY 10128",False,https://www.trulia.com/p/ny/new-york/1060-park-ave-12d-new-york-ny-10128--2478484770,40.7810396,-73.9568847
