price,bed,bath,feet,address,new_flag,company,latitude,longitude,distance
219000,0.0,1.0,,"209-10 41 Avenue UNIT 6r,Bayside, NY 11361",True,PREMIUM PROPERTIES INC,,,
599000,3.0,2.0,,"94-22 Magnolia Court UNIT 3,Ozone Park, NY 11417",True,CONNEXION I RL EST SVCS INC,,,
1290000,3.0,3.0,1260.0,"84-43 Kendrick Place,Jamaica, NY 11432",True,KELLER WILLIAMS REALTY GREATER,,,
1388888,7.0,4.0,,"86-50 127th Street,Richmond Hill, NY 11418",True,NEW YORK REALTY MINIMAX INC,40.7017234,-73.82417051640886,15.29267367570289
299999,3.0,1.0,,"90-01 S Shore Parkway UNIT 94,Howard Beach, NY 11414",True,KELLER WILLIAMS LEGENDARY,,,
998000,5.0,3.0,,"14-24 131 Street,College Pt, NY 11356",True,KELLER WILLIAMS RLTY LANDMARK,,,
275000,1.0,1.0,,"5134 30th Avenue UNIT 2-I,Woodside, NY 11377",True,KELLER WILLIAMS LANDMARK II,,,
535000,2.0,2.0,,"120-37 193rd Street,Saint Albans, NY 11412",True,POWER MOVE REALTY,40.691932,-73.758191,20.54123382301387
1050000,2.0,1.0,,"229 E 79th St #5C,New York, NY 10075",True,DOUGLAS ELLIMAN,40.7738995,-73.95571445646527,1.6341982877542
850000,1.0,1.0,,"530 Grand St #D11A,New York, NY 10002",True,NEW YORK RESIDENCE,40.7144935,-73.9811341,7.914530158299957
588000,2.0,1.0,1100.0,"7901 4th Ave #F20,Brooklyn, NY 11209",True,DORSA GROUP,40.6273827,-74.02618698852751,18.183952355841505
510000,1.0,1.0,489.0,"764 Saint Johns Pl #2A,Brooklyn, NY 11216",True,DOUGLAS ELLIMAN,40.6716702,-73.9528301,12.66271778486727
595000,0.0,1.0,515.0,"88 Greenwich St #411,New York, NY 10006",True,COMPASS,40.70791245,-74.01407336444697,9.402655720287962
995000,1.0,1.0,,"45 Gramercy Park N #16D,New York, NY 10010",True,COMPASS,40.73817585,-73.98507073623027,5.3992475546703576
4395000,3.0,4.0,2500.0,"123 Chambers St #6,New York, NY 10007",True,LESLIE J. GARFIELD,40.71534577777778,-74.00864694444445,8.462039366410586
2595000,2.0,2.0,1256.0,"540 W 49th St #8S,New York, NY 10019",True,COMPASS,40.76460954545455,-73.9937806590909,3.13142561812214
2890000,2.0,13.0,1373.0,"50 Riverside Blvd #7E,New York, NY 10069",True,DOUGLAS ELLIMAN,40.77404755,-73.99130988415699,2.2982019354942365
1425000,11.0,6.0,4800.0,"43-15 Judge St #6,Elmhurst, NY 11373",True,EAST COAST REALTORS INC.,40.74370815,-73.8786185,8.856500095959012
2999995,3.0,3.0,1737.0,"200 E 61st St #19DE,New York, NY 10065",True,DOUGLAS ELLIMAN,40.7626124,-73.9654342,2.5078132513369704
168000,0.0,1.0,850.0,"7281 113th St #5,Forest Hills, NY 11375",True,CENTURY HOMES REALTY GROUP LLC,40.7186419,-73.8354438,13.427747184506195
4750000,6.0,5.0,5700.0,"563 6th Ave,Brooklyn, NY 11215",True,PROSPECT PARK REALTY ADVISOR,40.6640568,-73.9869813022116,13.533172692329462
500000,1.0,1.0,325000.0,"130 Saint Edwards St #9C,Brooklyn, NY 11201",True,KELLER WILLIAMS REALTY EMPIRE,40.6928933,-73.97799217674503,10.271228831099313
1049000,3.0,2.0,1192.0,"182 Minna St #3B,Brooklyn, NY 11218",True,DANIEL GALE SOTHEBY'S INTERNATIONAL REALTY,40.64481407142857,-73.98575997619048,15.647353683416853
